Step,Action,Price,Portfolio Value
847,1,443.51,10038.946599999996
848,1,443.43,10039.166599999995
849,1,443.51,10037.406599999997
850,2,443.495,10039.166599999995
851,0,443.3,10039.166599999995
852,1,443.35,10039.166599999995
853,0,443.39,10040.266599999995
854,2,443.345,10041.146599999995
855,0,443.345,10041.146599999995
856,1,443.345,10041.146599999995
857,1,443.47,10041.146599999995
858,1,443.31,10043.896599999995
859,2,443.1,10040.376599999994
860,0,443.59,10040.376599999994
861,1,443.1,10040.376599999994
862,1,443.395,10029.596599999995
863,2,443.395,10036.086599999993
864,2,443.3,10036.086599999993
865,0,443.395,10036.086599999993
866,0,443.5802,10036.086599999993
867,1,443.395,10036.086599999993
868,1,443.29,10032.012199999992
869,0,443.395,10029.702199999994
870,2,443.3,10032.012199999992
871,0,443.2,10032.012199999992
872,0,443.21,10032.012199999992
